Cmd;Qty;Value;Device;Package;Parts;Description
;1;;JUMPER-3SMD;SJ_3;VHAL;
;1;;LNRG_4026;NRG_4026;L1;
;1;;M03-SCREW-5MM;SCREWTERMINAL-5MM-3;MOTOR;Header 3
;2;;M03SCREW;SCREWTERMINAL-3.5MM-3;POT, VIN1;Header 3
;1;;M05SCREW;SCREWTERMINAL-3.5MM-5;HALL;Header 5
;3;;R0603;R0603;R7, R8, R9;
;2;;SWITCH-MOMENTARY-2SMD-3;TACTILE_SWITCH_SMD-3;S1, S_RST;Various NO switches- pushbuttons, reed, etc
;1; 220UF;C_PANAFC1V221-P5.0-D10;CAPPR500-1000X3200;C16;Aluminum Electrolytic Capacitors
;1;0.05;R2512;CRF2512;R1;
;5;100nF;C0603;R0603;C1, C5, C10, C14, C15;
;1;105k;R0603;R0603;R11;
;1;10nF;C0603;R0603;C2;
;2;10uF;C0805;R0805;C7, C8;
;1;10uF;C1206;1206;C9;
;2;15k;R0603;R0603;R5, R6;
;4;1uF;C0805;R0805;C3, C6, C11, C13;
;1;2.2uF;C0805;R0805;C12;
;1;20k;R0603;R0603;R12;
;3;240;R0603;R0603;R2, R3, R4;
;4;4.7k;R0603;R0603;R10, R13, R14, R15;
;1;4.7uF;C0603;R0603;C17;
;1;4.7uF;C0805;R0805;C4;
Ti;3;CSD88537;CSD88537;SO-08;Q1, Q2, Q3;
Ti;1;DRV8307;DRV8307;PVQFN-N40;U$1;
;1;J_SWD;ZIF-06-1MM;ZIF-06-1MM;J1;
;1;LED-TRICOLOR;LED-TRICOLOR;PLCC4;RGB;Tri-Color LED SMD
Ti;1;LP2980;LP2980;SOT23-5L;IC3;
;1;STM32F042;STM32F042;TSSOP20;IC1;ARM®-based 32-bit MCU, up to 32 KB Flash, crystal-less USB
Ti;1;TPS560200;TPS560200;SOT23-5L;IC2;
